	Unnamed							
Time	ax	ay	az	qx	qy	qz	qw
4,880	-1,982	-0,370	-2,168	0,622	-0,403	0,632	0,225
4,896	-2,450	-0,333	-2,056	0,655	-0,380	0,600	0,255
4,912	-2,905	-0,442	-1,857	0,688	-0,352	0,565	0,287
4,928	-3,270	-0,718	-1,491	0,717	-0,317	0,530	0,319
4,944	-3,439	-1,074	-0,854	0,743	-0,272	0,497	0,352
4,960	-3,306	-1,325	0,099	0,763	-0,217	0,469	0,383
4,976	-2,815	-1,264	1,290	0,777	-0,151	0,445	0,412
4,992	-1,975	-0,812	2,521	0,786	-0,078	0,424	0,437
5,008	-0,852	-0,103	3,516	0,791	-0,003	0,405	0,455
5,024	0,396	0,562	4,024	0,795	0,068	0,385	0,465
5,040	1,543	0,923	3,948	0,799	0,130	0,361	0,469
5,056	2,414	0,946	3,396	0,804	0,178	0,332	0,470
5,072	2,959	0,778	2,580	0,810	0,213	0,303	0,469
5,088	3,259	0,588	1,717	0,814	0,233	0,274	0,469
5,104	3,464	0,456	0,963	0,817	0,241	0,248	0,472
5,120	3,559	0,439	0,459	0,818	0,237	0,228	0,480
5,136	3,159	0,397	0,386	0,817	0,221	0,211	0,492
5,152	2,152	0,260	0,723	0,815	0,193	0,197	0,508
5,168	0,762	0,083	1,327	0,812	0,161	0,185	0,525
5,184	-0,523	-0,022	1,975	0,810	0,132	0,179	0,540
5,200	-1,416	-0,043	2,489	0,808	0,111	0,178	0,549
5,216	-1,810	-0,002	2,774	0,808	0,102	0,183	0,550
5,232	-1,734	0,079	2,755	0,811	0,105	0,192	0,543
5,248	-1,355	0,171	2,442	0,817	0,118	0,200	0,528
5,264	-0,812	0,262	1,938	0,825	0,135	0,206	0,507
5,280	-0,209	0,335	1,376	0,835	0,155	0,212	0,481
5,296	0,369	0,370	0,869	0,847	0,171	0,218	0,452
5,312	0,856	0,352	0,471	0,860	0,183	0,223	0,421
5,328	1,212	0,280	0,199	0,873	0,188	0,229	0,390
5,344	1,429	0,171	0,040	0,885	0,186	0,235	0,359
5,360	1,523	0,070	-0,036	0,896	0,178	0,243	0,331
5,376	1,518	0,004	-0,071	0,905	0,166	0,252	0,305
5,392	1,434	-0,042	-0,087	0,912	0,148	0,263	0,282
5,408	1,289	-0,098	-0,094	0,916	0,127	0,278	0,263
5,424	1,102	-0,175	-0,087	0,917	0,103	0,297	0,247
5,440	0,898	-0,268	-0,052	0,914	0,075	0,321	0,234
5,456	0,711	-0,359	0,030	0,906	0,045	0,353	0,224
5,472	0,553	-0,430	0,193	0,891	0,014	0,392	0,216
5,488	0,405	-0,466	0,452	0,869	-0,019	0,439	0,211
5,504	0,230	-0,462	0,765	0,839	-0,052	0,491	0,208
5,520	-0,005	-0,440	1,054	0,803	-0,084	0,545	0,207
5,536	-0,294	-0,415	1,240	0,762	-0,116	0,598	0,208
5,552	-0,612	-0,411	1,252	0,718	-0,150	0,646	0,209
5,568	-0,908	-0,440	1,051	0,674	-0,184	0,687	0,208
5,584	-1,147	-0,480	0,675	0,630	-0,221	0,720	0,205
5,600	-1,323	-0,503	0,198	0,586	-0,257	0,747	0,199
5,616	-1,459	-0,481	-0,378	0,538	-0,299	0,771	0,190
5,632	-1,515	-0,398	-0,893	0,497	-0,334	0,786	0,179
5,648	-1,482	-0,248	-1,362	0,458	-0,367	0,797	0,166
5,664	-1,338	-0,045	-1,758	0,424	-0,396	0,804	0,151
5,680	-1,070	0,177	-2,055	0,396	-0,421	0,808	0,135
5,696	-0,694	0,372	-2,234	0,374	-0,443	0,810	0,118
5,712	-0,263	0,504	-2,290	0,358	-0,460	0,810	0,100
5,728	0,182	0,556	-2,236	0,348	-0,472	0,808	0,082
5,744	0,620	0,521	-2,112	0,344	-0,480	0,806	0,065
5,760	1,030	0,411	-1,959	0,346	-0,484	0,803	0,052
5,776	1,359	0,262	-1,800	0,353	-0,485	0,800	0,043
5,792	1,537	0,121	-1,652	0,363	-0,483	0,796	0,038
